,X,Y,Z
104,5013325,1495425,1
105,5018087,1819275,9
106,4965700,1803400,24
107,3656012,5216525,1
108,3656012,5630862,1
109,5159375,5708650,1
110,5159375,5294312,1
111,3656012,4802187,1
112,5178425,4470400,1
113,3656012,1916113,1
114,3656012,2744788,1
115,3656012,3154363,1
116,3656012,3983037,1
117,5245100,2822575,1
118,3656012,3568700,1
119,5216525,3646487,1
120,5549900,2408238,1
121,5168900,4879975,1
122,3656012,2330450,1
123,5187950,4060825,1
124,3656012,4392612,1
125,5235575,3232150,1
126,5607050,1993900,1
127,174943,27536,1
128,8640764,145920,13
129,174945,6613703,1
130,269,1,1
131,162245,1060175,1
132,166183,5400400,25
133,220427,1350688,17
134,174945,6612088,1
135,1710341,1660250,5
136,1612900,1636437,24
137,2968625,2615925,1
138,377825,1930125,1
139,2730500,4663800,1
140,377825,3296963,1
141,2968625,3978000,1
142,2921000,3296963,1
143,377825,4663800,1
144,377825,2615925,1
145,377825,3978000,1
146,3425825,1930125,1
147,6604000,1636437,24
148,8293100,4592363,1
149,4706937,4044675,1
150,7902575,4044675,1
151,4706937,4405038,1
152,4706937,3309663,1
153,4706937,2954062,1
154,4706937,2406375,1
155,7292975,2406375,1
156,7569200,2954062,1
157,4706937,1858687,1
158,7226300,1858687,1
159,7769225,3496988,1
160,174945,6235255,17
161,174945,237215,17
162,174943,27536,1
163,162245,1046325,17
164,269,1,1
165,263525,764975,1
166,263525,780363,17
167,360363,1225550,17
168,360363,5501302,1
169,6800850,1330939,1
170,6800850,1583237,9
171,6800850,1629390,1
172,6800850,1872320,9
173,7842250,1629390,1
174,7842250,1872320,9
175,5526473,402339,17
176,174945,237215,1
177,1270000,2755900,24
178,5948362,4918075,5
179,5948362,4918075,5
180,6005512,4918075,5
181,1728788,2592388,9
182,5610225,2011363,9
183,1506537,4368800,1
184,2393950,5178425,1
185,1497012,5178425,1
186,3059113,4202112,1
187,3114675,3463925,1
188,3059113,3219450,1
189,2282825,3319462,1
190,2282825,4249737,1
191,3835400,4202112,1
192,3890962,3459162,1
193,5491162,5178425,1
194,4714875,5178425,1
195,4611687,3205163,1
196,5387975,3124200,1
197,4611687,4197350,1
198,4667250,3449637,1
199,3938587,5178425,1
200,5443537,3368675,1
201,3835400,3214688,1
202,3162300,5178425,1
203,2338388,3563937,1
204,5337175,2146300,1
205,6088062,5178425,1
206,3087688,2674938,1
207,5387975,4159250,1
208,6219825,2816225,1
209,6164262,3897312,1
210,1506537,3571875,1
211,1562100,3816350,1
212,6164262,2559050,1
213,5689600,1535112,1
214,5689600,1263650,1
215,5956300,1262062,1
216,5956300,1533525,1
217,6962775,2997200,1
218,6962775,4029075,1
219,8004175,2997200,1
220,8004175,4029075,1
221,1403350,5503862,1
222,2208213,5503862,1
223,2968625,5503862,1
224,4664075,5503862,1
225,5511800,5503862,1
226,3816350,5503862,1
227,6315075,5503862,1
228,174945,6235265,17
229,174943,27536,1
230,8710727,240787,13
231,75003,4234777,1
232,8710727,2884486,1
233,8710727,3694834,1
234,269,1,1
235,174945,237215,1
236,174945,6597563,1
237,174943,27536,1
238,4581525,3889375,1
239,173037,1022350,1
240,173037,1022350,1
241,173037,3889375,1
242,173037,3889375,1
243,4581525,1022350,1
244,4581525,1022350,1
245,4581525,3889375,1
246,234950,1101725,17
247,4683125,1101725,17
248,234950,3968750,17
249,4683125,3968750,17
250,234950,1411287,17
251,4683125,1411287,17
252,234950,4265612,17
253,4683125,4265612,17
254,4651375,5627687,17
255,2943922,2296025,17
256,6486525,5784850,1
257,7196138,5784850,1
258,6773863,1922463,9
259,1266825,2078038,13
260,1391545,2254590,1
261,611187,2466975,13
262,735907,2643527,1
263,1901825,1674813,13
264,2024926,1851365,1
265,7185025,1759256,1
266,7289800,2070100,24
267,8183563,2728913,17
268,8148638,3524250,17
269,7481888,3524250,17
270,7516813,2652713,17
271,4660900,1689100,24
272,5297487,3028950,9
273,6091237,2057400,9
274,6021387,2524125,9
275,5367337,2524125,9
276,6148387,2054225,9
277,5424487,2520950,9
278,5576887,3524250,17
279,6300787,3524250,17
280,4852987,3524250,17
281,5529262,2620963,17
282,6253162,2135188,17
283,1371600,5172075,9
284,1371600,5610225,9
285,1371600,5153025,9
286,660400,5080000,24
287,2127250,4927600,9
288,2127250,5681662,9
289,985837,5630862,17
290,985837,5283200,17
291,1036637,5054600,17
292,223838,4837112,1
293,2236788,5573712,1
294,2236788,5087937,1
295,1663700,4837112,1
296,1765300,5068887,1
297,900112,6076950,1
298,1714500,5697537,17
299,1628775,6076950,1
300,1714500,5364162,17
301,935037,4837112,1
302,2236788,4819650,1
303,6375400,4775200,24
304,7040563,5200650,9
305,7839075,4835525,9
306,7735888,4838700,9
307,6559550,4957762,17
308,7943850,4881562,17
309,7208838,4595812,17
310,7283450,5410200,17
311,6577013,5410200,17
312,7540625,3001963,13
313,8199438,3008313,13
314,203200,1993900,24
315,2173288,2733675,9
316,1552575,2733675,9
317,2209800,2295525,9
318,1609725,2730500,9
319,849312,3190875,9
320,1516062,3095625,9
321,885825,3095625,9
322,942975,3092450,9
323,2266950,2292350,9
324,1728788,3524250,17
325,1066800,3524250,17
326,2390775,3524250,17
327,400050,3524250,17
328,8710727,240787,13
329,8545513,6435725,1
330,119062,230188,1
331,4489450,554037,1
332,4491037,557212,1
333,4564062,622300,1
334,100011,554037,1
335,100011,557212,1
336,174625,622300,1
337,4489450,3368675,1
338,4491037,3371850,1
339,4564062,3436937,1
340,100011,3368675,1
341,100011,3371850,1
342,174625,3436937,1
343,174625,874712,25
344,4564062,874712,25
345,4564062,3651250,25
346,2819400,3650476,1
347,2819400,3962400,9
348,2819400,4019550,25
349,7643813,376238,1
350,7643813,190501,1
351,7456488,163512,1
352,7530307,163512,5
353,7459663,347663,1
354,7459663,347663,1
355,4022725,584200,1
356,4022725,584200,5
357,4022725,3398837,1
358,4022725,3398837,5
359,1117600,3651250,1
360,1117600,3962400,9
361,1117600,4019550,1
362,2514600,3771900,1
363,2514600,3771900,1
364,174625,3962400,9
365,174625,4019550,1
366,174625,3647301,1
367,812800,3771900,1
368,887412,3771900,5
369,8470900,584200,1
370,8470900,584200,5
371,8470900,3398837,1
372,8470900,3398837,1
373,8261350,163512,13
374,119062,6450012,1
375,167859,141876,1
376,4931802,2283646,1
377,8125073,94342,1
378,8125073,94342,1
379,8125073,275931,1
380,205408,796561,17
381,205408,985176,17
382,205408,968109,1
383,205408,5511436,17
384,205408,5743047,17
385,205408,5690942,1
386,851152,4559129,17
387,2550579,5587336,17
388,205409,1288612,1
389,6495582,5511436,17
390,908735,1483551,17
391,174945,6175292,17
392,3221504,1288615,9
393,7110270,1243477,9
394,1488267,1243200,17
395,5121350,1243200,17
396,1488267,2902856,17
397,5127781,2902856,17
398,5048713,767005,1
399,5594038,744241,17
400,7774586,751253,17
401,6504574,751253,17
402,1841185,1830692,17
403,1906499,4653836,17
404,1906499,4128777,17
405,1841185,1590980,17
406,1559957,1821801,13
407,1559957,4642870,13
408,1559957,1577943,13
409,1559957,4133365,13
410,1841185,2061764,17
411,1906499,3447689,17
412,1906499,3697666,17
413,1559957,2052871,13
414,1559957,3438797,13
415,1559957,3688776,13
416,1920293,4364444,17
417,1559957,4376532,13
418,1906760,3180351,17
419,1559957,3184412,13
420,5519146,4594650,17
421,5201074,4618545,13
422,5544935,2058838,17
423,5212963,2049946,13
424,5538532,3478639,17
425,5201074,3469749,13
426,1906499,3913025,17
427,1559957,3904134,13
428,1906499,4908122,17
429,1559957,4895084,13
430,5544935,1590980,17
431,5212963,1577943,13
432,5538532,4389165,17
433,5201074,4376127,13
434,5547876,3244105,17
435,5201074,3248166,13
436,1906499,2975677,17
437,1559957,2988377,13
438,5538532,3020866,17
439,5201074,3033566,13
440,5538532,4872661,17
441,5201074,4855478,13
442,5544935,1831599,17
443,5212963,1822706,13
444,5538532,3695510,17
445,5201074,3686617,13
446,3663648,3042459,17
447,3402345,3033566,13
448,5538532,3906625,17
449,5201074,3912446,13
450,5538532,4134406,17
451,5201074,4125514,13
452,3726539,3307412,17
453,3408467,3331309,13
454,3718857,3591579,17
455,3402345,3591579,13
456,4392602,5099741,1
457,8203140,5102842,1
458,4392602,1180088,1
459,8336812,1145205,1
460,0,0,1
461,90177,872965,1
462,121488,134302,1
463,121488,6579751,1
464,4859337,2056503,9
465,4116387,2628003,9
466,2605088,5472803,9
467,2751138,4907653,9
468,3011488,4336153,9
469,3684587,3193153,9
470,3290887,3764653,9
471,2471738,1504054,24
472,2579688,5269603,9
473,320675,2745478,1
474,320675,3313803,1
475,2743200,4579041,1
476,3013075,4007541,1
477,320675,2299392,1
478,320675,1727892,1
479,2303463,5147366,1
480,4349751,2299392,1
481,320675,4007541,1
482,320675,4456803,1
483,3762376,2867717,1
484,320675,5147366,1
485,320675,5715691,1
486,203200,1448429,1
487,203200,1229907,1
488,5130043,1448427,1
489,5130043,1229907,1
490,203200,2712572,9
491,203200,3266178,9
492,203200,3821224,9
493,203200,4399653,9
494,203200,4971153,9
495,5130043,2326652,25
496,5130043,3307165,25
497,6626690,945703,1
498,6428158,924741,1
499,7646003,945703,1
500,7447470,924741,1
501,8567673,945703,1
502,8369138,924741,1
503,203200,5560314,9
504,5130043,5048465,25
505,195262,6249279,1
506,5130043,4454852,25
507,5130043,3890841,25
508,5130043,5595172,25
509,269,1,1
510,174945,237215,1
511,174945,6581864,1
512,174943,27536,1
513,277169,1146175,1
514,277169,1146175,1
515,368300,1177925,17
516,368300,1887268,17
517,1993900,2451100,24
518,5224462,3313112,5
519,5224462,2574925,5
520,5224462,3313112,5
521,5281612,2574925,5
522,5281612,3313112,5
523,5224462,2574925,5
524,6359525,2740025,17
525,5483225,3478212,17
526,388938,4216400,17
527,3930650,4954587,17
528,388938,2740025,17
529,3711575,5692775,17
530,388938,5692775,17
531,388938,4954587,17
532,388938,3478212,17
533,5216525,4216400,17
534,7300913,1887268,17
535,368300,2352675,9
536,7300913,2352675,9
537,7653338,2670175,1
538,7653338,4187825,1
539,7653338,4981575,1
540,7653338,5613400,1
541,7653338,3390900,1
542,174945,237215,1
543,174943,27536,1
544,4627045,650028,1
545,238152,650026,1
546,4628644,650028,1
547,4693017,723893,1
548,238152,650028,1
549,304123,723893,1
550,304123,1013270,25
551,4693017,1013270,25
552,8710727,240787,13
553,0,0,1
554,174945,237215,1
555,173037,5876925,9
556,173037,5580062,9
557,173037,5284787,9
558,161925,5005387,9
559,173037,4692650,9
560,173037,4397375,9
561,173037,4100512,9
562,173037,3805237,9
563,173037,3509962,9
564,173037,2917825,9
565,173037,3213100,9
566,1079500,1689100,24
567,152400,3876675,1
568,152400,5657850,1
569,152400,5362575,1
570,152400,4467225,1
571,152400,5953125,1
572,152400,5062537,1
573,152400,4171950,1
574,152400,4762500,1
575,152400,3286125,1
576,152400,2990850,1
577,152400,3581400,1
578,152400,2690813,1
579,152400,1800225,1
580,1135062,2095500,1
581,152400,2390775,1
582,1139825,1800225,1
583,152400,2095500,1
584,6577013,306388,1
585,6577013,547687,1
586,6816725,546100,1
587,6816725,304800,1
588,174945,6602547,1
589,7207250,2706688,17
590,6657975,2706688,17
591,7729538,2706688,17
592,8599488,2706688,17
593,8175625,2989263,17
594,7207250,2981325,17
595,6657975,2981325,17
596,7729538,2981325,17
597,7207250,3276600,17
598,7729538,3276600,17
599,8599488,3276600,17
600,8175625,3579812,17
601,7207250,3571875,17
602,6657975,3571875,17
603,7729538,3571875,17
604,8175625,3876675,17
605,7207250,3868737,17
606,6657975,3868737,17
607,7729538,3868737,17
608,7207250,4164012,17
609,6657975,4164012,17
610,7729538,4164012,17
611,8599488,4164012,17
612,8175625,4468812,17
613,7207250,4460875,17
614,6657975,4460875,17
615,7729538,4460875,17
616,7207250,4756150,17
617,8599488,4756150,17
618,8175625,5059362,17
619,7207250,5051425,17
620,6657975,5051425,17
621,8175625,5356225,17
622,6657975,5348287,17
623,7729538,5348287,17
624,8175625,5651500,17
625,7207250,5643562,17
626,6657975,5643562,17
627,7729538,5643562,17
628,8599488,5643562,17
629,8175625,5948362,17
630,7207250,5940425,17
631,6657975,5940425,17
632,7729538,5940425,17
633,1185862,1665288,1
634,1185862,1335087,1
635,173037,1665288,1
636,6611938,1293812,1
637,6611938,1138237,1
638,6611938,1665288,1
639,7119938,1489075,1
640,8164513,1489075,1
641,7708900,1489075,1
642,6611938,1489075,1
643,173037,1489075,1
644,8594052,1489075,1
645,7119938,1665288,1
646,7708900,1665288,1
647,8164513,1665288,1
648,8594052,1665288,1
649,173037,2333625,9
650,173037,2038350,9
651,8175625,1812925,17
652,7207250,1804988,17
653,6657975,1804988,17
654,7729538,1804988,17
655,8599488,1804988,17
656,8175625,2109788,17
657,6657975,2101850,17
658,7729538,2101850,17
659,8175625,2408238,17
660,7207250,2400300,17
661,6657975,2400300,17
662,7729538,2400300,17
663,8599488,2400300,17
664,173037,2605088,9
665,2441575,2962275,5
666,2295525,1665288,1
667,2295525,1335087,1
668,2441575,3257550,5
669,2441575,3854450,5
670,2441575,5038725,5
671,2441575,4451350,5
672,2441575,5329237,5
673,2441575,4745037,5
674,2428875,2082800,5
675,2428875,2382838,5
676,3046413,1335087,1
677,3046413,1665288,1
678,3767137,1489075,1
679,3767137,1665288,1
680,4487862,1489075,1
681,4487862,1665288,1
682,5208587,1335087,1
683,5208587,1665288,1
684,5929312,1489075,1
685,5929312,1665288,1
686,3192463,2962275,5
687,3192463,3257550,5
688,3192463,3554412,5
689,3192463,4745037,5
690,3192463,5926137,5
691,3921125,3554412,5
692,3921125,4745037,5
693,3921125,4451350,5
694,3921125,5329237,5
695,3921125,5624512,5
696,4633912,2962275,5
697,4633912,3854450,5
698,4633912,4745037,5
699,5354637,3554412,5
700,5354637,3854450,5
701,5995987,4745037,5
702,5995987,5038725,5
703,3192463,1785938,5
704,3192463,2082800,5
705,3192463,2382838,5
706,3913187,1785938,5
707,3913187,2082800,5
708,5354637,1785938,5
709,3192463,5624512,5
710,5354637,5624512,5
711,2311400,1138237,1
712,2311400,1293812,1
713,174945,6235265,17
714,7485098,527050,5
715,7785592,536575,1
716,7485098,336550,5
717,7798882,307975,1
718,8545513,6435725,1
719,119062,230188,1
720,119062,6443662,1
721,119062,5990451,17
722,1077912,4037012,1
723,1868488,4037012,1
724,6115050,4037012,25
725,1077912,4687887,1
726,1868488,4687887,1
727,4032250,4687887,25
728,6115050,4687887,25
729,1106487,4016375,9
730,1106487,4667250,9
731,1897061,5318125,9
732,1868488,884237,1
733,1868488,5338762,1
734,4032250,5338762,25
735,6115050,5338762,25
736,1077912,884237,1
737,6115050,884237,25
738,1106487,2278063,9
739,1106487,3321050,9
740,1868488,3341692,1
741,1077912,3341692,1
742,4032251,3341692,25
743,6115051,3341692,25
744,6115050,3690937,25
745,1868486,3690937,1
746,4032250,911225,25
747,4032250,1606550,25
748,6115050,1606550,25
749,4032250,1954213,25
750,6115050,1954213,25
751,4032250,1258887,25
752,6115050,1258887,25
753,1868488,2298700,1
754,6115050,2298700,25
755,4032250,2298700,25
756,4032250,2646363,25
757,6115050,2646363,25
758,4032250,2995613,25
759,6115050,2995613,25
760,119062,884237,1
761,1077912,846137,9
762,1077912,655637,1
763,1868488,655637,1
764,4032250,655637,1
765,6115050,655637,1
766,1897061,3668712,9
767,4032250,2973388,9
768,4032250,2624138,9
769,4032250,1931988,9
770,4032250,1584325,9
771,4032250,1236662,9
772,269,1,1
773,436562,1146175,1
774,523875,1511300,17
775,436562,1146175,17
776,174945,6581437,1
777,3124200,2247900,9
778,4248150,2247900,9
779,6486525,2238375,9
780,6486525,1885950,9
781,5362575,2667000,9
782,5362575,2247900,9
783,3124200,1885950,9
784,6486525,2619375,9
785,4248150,1885950,9
786,3124200,2600325,9
787,4248150,2638425,9
788,5362575,1885950,9
789,2108200,1803400,24
790,7651750,1885950,9
791,1574800,1968500,1
792,7905750,1763713,1
793,1574800,3325812,1
794,1574800,2320925,1
795,4843462,4483100,1
796,7081838,4483100,1
797,3732212,4483100,1
798,2492375,4483100,1
799,5962650,4483100,1
800,2489361,4795070,1
801,3590859,4795070,1
802,4692358,4795070,1
803,6895355,4795070,1
804,523875,4845844,1
805,5793857,4795070,1
806,2489361,5210585,1
807,3590859,5210585,1
808,4692358,5210585,1
809,6895355,5210585,1
810,523875,5261359,1
811,5793857,5210585,1
812,2489361,5683046,1
813,3590859,5683046,1
814,4692358,5683046,1
815,6895355,5683046,1
816,523875,5626100,1
817,5793857,5683046,1
818,5526473,402339,17
819,174945,237215,1
820,174943,27536,1
821,7411273,343683,1
822,7411273,343683,1
823,7411273,556050,1
824,8710727,240787,13
825,0,0,1
826,174945,237215,1
827,3711575,766762,25
828,3711575,1122362,25
829,3711575,1476375,25
830,3711575,1831975,25
831,3711575,2185988,25
832,3711575,2541588,25
833,3711575,2897188,25
834,3711575,3251200,25
835,3711575,3606800,25
836,3711575,3960812,25
837,3711575,4316412,25
838,3711575,4672012,25
839,3711575,5026025,25
840,3711575,5381625,25
841,3711575,5735637,25
842,8545513,6435725,1
843,0,0,1
844,4694237,554037,1
845,100011,554037,1
846,100011,1778000,1
847,100011,1778000,1
848,174625,1804989,1
849,174625,1978025,25
850,174625,877887,25
851,100011,557212,1
852,4694237,557212,1
853,119062,230188,1
854,3395662,917575,24
855,3125788,1512887,1
856,3454400,1225550,1
857,4214812,1333500,1
858,3924300,1298575,1
859,7643813,376238,1
860,7643813,190501,1
861,7456488,163512,1
862,7530307,163512,5
863,7459663,347663,1
864,7459663,347663,1
865,4765675,689689,1
866,2862263,689689,1
867,174625,689689,1
868,100011,4248150,1
869,100011,2876550,1
870,174625,4478337,25
871,100011,2876550,1
872,174625,2903538,1
873,3030538,4248150,1
874,3030538,2876550,1
875,3030538,2876550,1
876,5929312,4248150,1
877,5929312,2876550,1
878,5929312,2876550,1
879,3065463,2903538,1
880,5992812,2903538,1
881,3130550,4478337,25
882,2797175,2889250,1
883,2797175,2889250,5
884,5686425,2889250,1
885,5686425,2889250,5
886,100011,4252912,1
887,174625,4279900,1
888,3030538,4252912,1
889,5929312,4252912,1
890,3065463,4279900,1
891,5992812,4279900,1
892,2797175,4265612,1
893,2871788,4265612,5
894,5686425,4265612,1
895,5686425,4265612,5
896,8574088,2889250,1
897,8574088,2889250,1
898,123825,3616325,24
899,723900,4067175,1
900,271463,4067175,1
901,3070225,3860800,24
902,3670300,4073525,1
903,3678237,3757612,1
904,3217863,4073525,1
905,3225800,3786187,1
906,4306887,3663950,1
907,7207250,3663950,1
908,5942012,3313112,24
909,6542088,4059237,1
910,6089650,4059237,1
911,5276850,3598862,24
912,5208587,3675062,9
913,5313362,3657600,9
914,5019675,3473450,1
915,4843462,3784600,1
916,4843462,3613150,1
917,5367337,4059237,1
918,5446712,3473450,1
919,5418137,3609892,1
920,8191500,3598862,24
921,7758113,3613150,1
922,7934325,3495675,1
923,7758113,3784600,1
924,8366125,3495675,1
925,8286750,4059237,1
926,8337549,3625794,1
927,2317750,3598862,24
928,2051050,3495675,1
929,1874838,3784600,1
930,1874838,3613150,1
931,2459038,3495675,1
932,2379663,4059237,1
933,2430463,3652837,1
934,1390650,3663950,1
935,1368425,3221460,1
936,1362075,3373437,9
937,1814511,3116914,1
938,1814511,3373437,9
939,163512,3116914,1
940,163512,3373437,9
941,4238625,3208760,1
942,4278312,3373437,9
943,4730750,3116914,1
944,4730750,3373437,9
945,3079750,3116914,1
946,3079750,3373437,9
947,7137400,3208760,1
948,7177086,3373437,9
949,7629525,3116914,1
950,7629525,3373437,9
951,5978525,3116914,1
952,5978525,3373437,9
953,7016750,4459287,1
954,7016750,4864100,9
955,5989637,4478337,25
956,8574088,4265612,1
957,8574088,4265612,5
958,119062,6125776,17
959,119062,6361212,1
960,8261350,163512,13
961,8532813,1047750,1
962,5341937,927100,1
963,5341937,1255712,1
964,5341937,1560512,1
965,6116637,1898650,1
966,6872288,1898650,1
967,5341937,1898650,1
968,7640638,1898650,1
969,5916612,1121851,9
970,7437438,1120775,9
971,5902325,1427162,9
972,7429500,1427162,9
973,7205663,927100,1
974,5770562,1752600,9
975,6489701,1752600,9
976,7218363,1752600,9
977,7942263,1752600,9
978,7999020,1464068,1
979,4779962,2200275,1
980,6080125,2265363,25
981,5307012,2265363,1
982,6080125,2559050,25
983,5307012,2559050,1
984,7400925,5043487,24
985,7088186,5341937,1
986,7559675,5378374,1
987,6946900,5819775,1
988,7993061,5776912,1
989,7912100,5616575,1
990,8180386,5589587,1
991,8020050,5511800,1
992,8207375,5286375,1
993,7219950,4938712,1
994,174945,5757986,17
995,205411,5385192,17
996,205411,5616804,17
997,205411,5564699,1
998,583588,4053880,17
999,2674793,5298514,17
1000,583588,2160291,17
1001,1567570,1376824,17
1002,5171644,1376824,17
1003,1567570,3293543,17
1004,5171644,3293543,17
1005,174945,237215,1
1006,178778,975879,17
1007,178776,1164494,17
1008,178778,1147225,1
1009,6518548,5334027,17
1010,1927785,3486772,25
1011,1852378,1852653,25
1012,2390252,4694942,13
1013,3634940,2746380,13
1014,3592602,4706263,13
1015,6997702,2724423,13
1016,2352421,2753043,13
1017,1852378,3701843,25
1018,5457950,3840646,25
1019,1675077,3482642,17
1020,5265708,3482642,17
1021,6080819,2670671,13
1022,5976294,4685134,13
1023,3557239,1558815,17
1024,5330147,1852653,25
1025,4993145,2187812,1
1026,178778,1412335,1
1027,7185406,4692832,13
1028,174945,237215,1
1029,174943,27536,1
1030,669535,1287388,1
1031,669535,1281006,1
1032,742028,1683877,25
1033,4617987,1287388,1
1034,4617987,1281006,1
1035,4703255,1683877,25
1036,7175103,334158,1
1037,7175103,334158,1
1038,7175103,546525,1
1039,8710727,240787,13
1040,0,0,1
1041,0,0,1
1042,223838,230189,1
1043,224227,229888,1
1044,3763962,1012827,1
1045,3802064,3262314,1
1046,3763962,1012825,1
1047,117475,6458794,1
1048,207964,1012827,1
1049,207964,1012825,1
1050,306389,5772150,17
1051,387350,3740150,1
1052,306389,3279775,17
1053,735015,1657351,13
1054,927386,1919714,13
1055,3814762,1851026,1
1056,5209769,1851026,25
1057,3814762,2405065,1
1058,5210175,2405065,25
1059,3829051,3327401,1
1060,5210795,3327401,25
1061,5210175,1601787,17
1062,5210176,1795463,9
1063,3892550,2389188,9
1064,3892550,3230565,9
1065,3892550,4514851,9
1066,207964,760412,5
1067,735015,4149726,13
1068,5210176,5106987,25
1069,3829051,5106987,1
1070,8329614,2024065,1
1071,8193089,1601787,17
1072,8193089,1795463,9
1073,3892550,3759201,9
1074,3829051,3846512,1
1075,5210795,3846512,25
1076,3814762,4587875,1
1077,5209769,4587875,25
1078,3892550,5045076,9
1079,6397626,5734051,1
1080,0,0,1
1081,174945,237215,1
1082,2222500,1155700,24
1083,982662,5676900,1
1084,982662,6305550,1
1085,982662,5467350,1
1086,982662,5043487,1
1087,982662,6096000,1
1088,982662,5257800,1
1089,982662,4829175,1
1090,982662,5886450,1
1091,982662,4619625,1
1092,982663,4410075,1
1093,982662,4200525,1
1094,982663,3362325,1
1095,982662,2943225,1
1096,982662,3571875,1
1097,982662,2733675,1
1098,982662,2305050,1
1099,982662,3152775,1
1100,982662,2519363,1
1101,982662,3990975,1
1102,982662,2095500,1
1103,982662,1676400,1
1104,982663,1885950,1
1105,982662,3781425,1
1106,982662,1466850,1
1107,982662,1257300,1
1108,2290763,1183477,9
1109,3335337,674188,1
1110,2275339,678653,1
1111,5300600,674188,1
1112,4360345,678653,1
1113,6365261,674188,1
1114,8200567,828076,1
1115,100923,1257300,1
1116,100923,3362325,1
1117,100923,4619625,1
1118,3441700,1155700,24
1119,3930650,5257800,1
1120,3289300,6305550,1
1121,3702050,5676900,1
1122,3341687,2519363,1
1123,3921125,6096000,1
1124,3949700,5886450,1
1125,3844925,5467350,1
1126,3968750,5043487,1
1127,3825875,4829175,1
1128,3721100,4410075,1
1129,3730625,4200525,1
1130,3911600,4619625,1
1131,3759200,3990975,1
1132,3740150,3781425,1
1133,3721100,3571875,1
1134,3635375,3362325,1
1135,3232150,3152775,1
1136,3683000,2943225,1
1137,3625850,2733675,1
1138,3625850,1466850,1
1139,3635375,2095500,1
1140,3683000,1885950,1
1141,3702050,2305050,1
1142,3806825,1676400,1
1143,3644900,1257300,1
1144,100923,3334389,9
1145,100923,4595883,9
1146,4356100,1155700,24
1147,4618037,4619625,1
1148,5270500,1155700,24
1149,5654675,5257800,1
1150,5873750,4619625,1
1151,5502275,2733675,1
1152,5540375,1676400,1
1153,5607050,6096000,1
1154,5645150,5886450,1
1155,5568950,3990975,1
1156,5597525,4410075,1
1157,5483225,1257300,1
1158,5492750,3152775,1
1159,5588000,3571875,1
1160,5530850,5676900,1
1161,5454650,2519363,1
1162,5473700,2305050,1
1163,5568950,6305550,1
1164,5588000,4829175,1
1165,5568950,4200525,1
1166,5568950,3781425,1
1167,5521325,2943225,1
1168,5549900,2095500,1
1169,5683250,5467350,1
1170,5654675,5043487,1
1171,5473700,3362325,1
1172,5502275,1885950,1
1173,5483225,1466850,1
1174,6261100,1155700,24
1175,7581900,1962150,9
1176,6316662,1466850,1
1177,6311900,2519363,1
1178,6345237,3571875,1
1179,6340475,3781425,1
1180,7959725,296863,1
1181,7959725,538162,1
1182,8199438,295275,1
1183,8199438,536575,1
1184,8435747,1257300,5
1185,982663,3124141,9
1186,982663,2913891,9
